card_id,pname,set_name,is_custom,image_url,generation,release_date,rarity,pokemon_type,subtype,hp,level,flavour_text
base1-1,Alakazam,Base,False,https://images.pokemontcg.io/base1/1_hires.png,Base,1/9/1999,Rare Holo,['Psychic'],['Stage 2'],80,42,Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5000.
base1-2,Blastoise,Base,False,https://images.pokemontcg.io/base1/2_hires.png,Base,1/9/1999,Rare Holo,['Water'],['Stage 2'],100,52,A brutal Pokémon with pressurized water jets on its shell. They are used for high-speed tackles.
base1-3,Chansey,Base,False,https://images.pokemontcg.io/base1/3_hires.png,Base,1/9/1999,Rare Holo,['Colorless'],['Basic'],120,55,A rare and elusive Pokémon that is said to bring happiness to those who manage to catch it.
base1-4,Charizard,Base,False,https://images.pokemontcg.io/base1/4_hires.png,Base,1/9/1999,Rare Holo,['Fire'],['Stage 2'],120,76,Spits fire that is hot enough to melt boulders. Known to unintentionally cause forest fires.
base1-5,Clefairy,Base,False,https://images.pokemontcg.io/base1/5_hires.png,Base,1/9/1999,Rare Holo,['Colorless'],['Basic'],40,14,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.
base1-6,Gyarados,Base,False,https://images.pokemontcg.io/base1/6_hires.png,Base,1/9/1999,Rare Holo,['Water'],['Stage 1'],100,41,"Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage."
base1-7,Hitmonchan,Base,False,https://images.pokemontcg.io/base1/7_hires.png,Base,1/9/1999,Rare Holo,['Fighting'],['Basic'],70,33,"While seeming to do nothing, it fires punches in lightning-fast volleys that are impossible to see."
base1-8,Machamp,Base,False,https://images.pokemontcg.io/base1/8_hires.png,Base,1/9/1999,Rare Holo,['Fighting'],['Stage 2'],100,67,"Using its amazing muscles, it throws powerful punches that can knock its victim clear over the horizon."
base1-9,Magneton,Base,False,https://images.pokemontcg.io/base1/9_hires.png,Base,1/9/1999,Rare Holo,['Lightning'],['Stage 1'],60,28,Formed by several Magnemites linked together. It frequently appears when sunspots flare up.
base1-10,Mewtwo,Base,False,https://images.pokemontcg.io/base1/10_hires.png,Base,1/9/1999,Rare Holo,['Psychic'],['Basic'],60,53,A scientist created this Pokémon after years of horrific gene-splicing and DNA engineering experiments.
base1-11,Nidoking,Base,False,https://images.pokemontcg.io/base1/11_hires.png,Base,1/9/1999,Rare Holo,['Grass'],['Stage 2'],90,23,"Uses its powerful tail in battle to smash, constrict, then break its prey's bones."
base1-12,Ninetales,Base,False,https://images.pokemontcg.io/base1/12_hires.png,Base,1/9/1999,Rare Holo,['Fire'],['Stage 1'],80,32,"Very smart and very vengeful. Grabbing one of its many tails could result in a 1,000-year curse."
base1-13,Poliwrath,Base,False,https://images.pokemontcg.io/base1/13_hires.png,Base,1/9/1999,Rare Holo,['Water'],['Stage 2'],90,48,An adept swimmer at both the front crawl and breaststroke. Easily overtakes the best human swimmers.
base1-14,Raichu,Base,False,https://images.pokemontcg.io/base1/14_hires.png,Base,1/9/1999,Rare Holo,['Lightning'],['Stage 1'],80,40,Its long tail serves as a ground to protect itself from its own high-voltage power.
base1-15,Venusaur,Base,False,https://images.pokemontcg.io/base1/15_hires.png,Base,1/9/1999,Rare Holo,['Grass'],['Stage 2'],100,67,This plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
base1-16,Zapdos,Base,False,https://images.pokemontcg.io/base1/16_hires.png,Base,1/9/1999,Rare Holo,['Lightning'],['Basic'],90,64,A legendary bird Pokémon said to appear from clouds while wielding enormous lightning bolts.
base1-17,Beedrill,Base,False,https://images.pokemontcg.io/base1/17_hires.png,Base,1/9/1999,Rare,['Grass'],['Stage 2'],80,32,"Flies at high speed and attacks using the large, venomous stingers on its forelegs and tail."
base1-18,Dragonair,Base,False,https://images.pokemontcg.io/base1/18_hires.png,Base,1/9/1999,Rare,['Colorless'],['Stage 1'],80,33,A mystical Pokémon that exudes a gentle aura. Has the ability to change climate conditions.
base1-19,Dugtrio,Base,False,https://images.pokemontcg.io/base1/19_hires.png,Base,1/9/1999,Rare,['Fighting'],['Stage 1'],70,36,A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground.
base1-20,Electabuzz,Base,False,https://images.pokemontcg.io/base1/20_hires.png,Base,1/9/1999,Rare,['Lightning'],['Basic'],70,35,"Normally found near power plants, it can wander away and cause major blackouts in cities."
base1-21,Electrode,Base,False,https://images.pokemontcg.io/base1/21_hires.png,Base,1/9/1999,Rare,['Lightning'],['Stage 1'],80,40,It stores electrical energy under very high pressure. It often explodes with little or no provocation.
base1-22,Pidgeotto,Base,False,https://images.pokemontcg.io/base1/22_hires.png,Base,1/9/1999,Rare,['Colorless'],['Stage 1'],60,36,"Very protective of its sprawling territory, this Pokémon will fiercely peck at any intruder."
base1-23,Arcanine,Base,False,https://images.pokemontcg.io/base1/23_hires.png,Base,1/9/1999,Uncommon,['Fire'],['Stage 1'],100,45,"A Pokémon that has been long admired for its beauty. It runs gracefully, as if on wings."
base1-24,Charmeleon,Base,False,https://images.pokemontcg.io/base1/24_hires.png,Base,1/9/1999,Uncommon,['Fire'],['Stage 1'],80,32,"When it swings its burning tail, it raises the temperature to unbearably high levels."
base1-25,Dewgong,Base,False,https://images.pokemontcg.io/base1/25_hires.png,Base,1/9/1999,Uncommon,['Water'],['Stage 1'],80,42,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.
base1-26,Dratini,Base,False,https://images.pokemontcg.io/base1/26_hires.png,Base,1/9/1999,Uncommon,['Colorless'],['Basic'],40,10,"Long considered a mythical Pokémon until recently, when a small colony was found living underwater."
base1-27,Farfetch'd,Base,False,https://images.pokemontcg.io/base1/27_hires.png,Base,1/9/1999,Uncommon,['Colorless'],['Basic'],50,20,The sprig of green onions it holds is its weapon. This sprig is used much like a metal sword.
base1-28,Growlithe,Base,False,https://images.pokemontcg.io/base1/28_hires.png,Base,1/9/1999,Uncommon,['Fire'],['Basic'],60,18,Very protective of its territory. It will bark and bite to repel intruders from its space.
base1-29,Haunter,Base,False,https://images.pokemontcg.io/base1/29_hires.png,Base,1/9/1999,Uncommon,['Psychic'],['Stage 1'],60,22,"Because of its ability to slip through block walls, it is said to be from another dimension."
base1-30,Ivysaur,Base,False,https://images.pokemontcg.io/base1/30_hires.png,Base,1/9/1999,Uncommon,['Grass'],['Stage 1'],60,20,"When the bulb on its back grows large, the Pokémon seems to lose the ability to stand on its hind legs."
base1-31,Jynx,Base,False,https://images.pokemontcg.io/base1/31_hires.png,Base,1/9/1999,Uncommon,['Psychic'],['Basic'],70,23,"Merely by meditating, the Pokémon launches a powerful psychic energy attack."
base1-32,Kadabra,Base,False,https://images.pokemontcg.io/base1/32_hires.png,Base,1/9/1999,Uncommon,['Psychic'],['Stage 1'],60,38,It emits special alpha waves from its body that induce headaches even to those just nearby.
